Node Number	X Location (m)	Y Location (m)	Z Location (m)	
1	0.	3.e-003	0.	
2	3.e-003	0.	0.	
3	5.216e-004	2.9543e-003	0.	
4	1.0273e-003	2.8187e-003	0.	
5	1.5017e-003	2.5971e-003	0.	
6	1.9304e-003	2.2964e-003	0.	
7	2.3003e-003	1.9258e-003	0.	
8	2.6e-003	1.4965e-003	0.	
9	2.8207e-003	1.0217e-003	0.	
10	2.9555e-003	5.1578e-004	0.	
11	5.e-003	0.	0.	
12	3.5e-003	0.	0.	
13	4.e-003	0.	0.	
14	4.5e-003	0.	0.	
15	5.e-003	5.e-003	0.	
16	5.e-003	5.5556e-004	0.	
17	5.e-003	1.1111e-003	0.	
18	5.e-003	1.6667e-003	0.	
19	5.e-003	2.2222e-003	0.	
20	5.e-003	2.7778e-003	0.	
21	5.e-003	3.3333e-003	0.	
22	5.e-003	3.8889e-003	0.	
23	5.e-003	4.4444e-003	0.	
24	0.	5.e-003	0.	
25	4.4444e-003	5.e-003	0.	
26	3.8889e-003	5.e-003	0.	
27	3.3333e-003	5.e-003	0.	
28	2.7778e-003	5.e-003	0.	
29	2.2222e-003	5.e-003	0.	
30	1.6667e-003	5.e-003	0.	
31	1.1111e-003	5.e-003	0.	
32	5.5556e-004	5.e-003	0.	
33	0.	4.5e-003	0.	
34	0.	4.e-003	0.	
35	0.	3.5e-003	0.	
36	3.4144e-003	2.8706e-003	0.	
37	2.8437e-003	3.9074e-003	0.	
38	1.3184e-003	3.8294e-003	0.	
39	3.8855e-003	1.3014e-003	0.	
40	3.9026e-003	3.9854e-003	0.	
41	2.3964e-003	3.4706e-003	0.	
42	3.888e-003	2.5864e-003	0.	
43	2.5356e-003	2.4499e-003	0.	
44	2.3093e-003	4.2353e-003	0.	
45	5.2363e-004	4.2229e-003	0.	
46	4.1628e-003	6.1754e-004	0.	
47	4.4552e-003	1.7832e-003	0.	
48	1.4399e-003	3.1954e-003	0.	
49	3.1523e-003	1.4345e-003	0.	
50	3.8626e-003	3.2449e-003	0.	
51	3.3636e-003	3.6588e-003	0.	
52	4.0295e-003	2.0261e-003	0.	
53	3.31e-003	8.9052e-004	0.	
54	9.2555e-004	3.3595e-003	0.	
55	2.9308e-003	3.1428e-003	0.	
56	1.9979e-003	2.9638e-003	0.	
57	3.6412e-003	4.5191e-003	0.	
58	4.1677e-003	4.5285e-003	0.	
59	4.4609e-003	3.6157e-003	0.	
60	4.4747e-003	3.0178e-003	0.	
61	1.8686e-003	3.6043e-003	0.	
62	1.4272e-003	4.4549e-003	0.	
63	4.5177e-003	1.1823e-003	0.	
64	4.4884e-003	2.4198e-003	0.	
65	2.8107e-003	4.4537e-003	0.	
66	2.5434e-003	2.947e-003	0.	
67	2.9541e-003	2.7597e-003	0.	
68	4.5114e-003	4.16e-003	0.	
69	3.6467e-004	3.7914e-003	0.	
70	3.3109e-003	4.1711e-003	0.	
71	3.5205e-003	1.9411e-003	0.	
72	4.2917e-004	3.4033e-003	0.	
73	3.2959e-003	4.0902e-004	0.	
74	8.923e-004	4.6023e-003	0.	
75	1.7651e-003	4.0701e-003	0.	
76	4.5833e-003	4.6103e-003	0.	
77	1.8966e-003	4.4151e-003	0.	
78	9.988e-004	4.2015e-003	0.	
79	3.2184e-003	4.613e-003	0.	
80	7.6004e-004	3.8013e-003	0.	
81	3.6962e-003	5.542e-004	0.	
82	4.7726e-004	4.6421e-003	0.	
83	4.6026e-003	6.1383e-004	0.	
84	2.8708e-003	1.9e-003	0.	
85	3.3688e-003	3.2365e-003	0.	
86	2.8872e-003	3.5251e-003	0.	
87	2.2799e-003	3.8558e-003	0.	
88	2.2658e-003	4.6177e-003	0.	
89	3.2674e-003	2.4425e-003	0.	
