Node Number	X Location (m)	Y Location (m)	Z Location (m)	
1	2.5e-004	2.e-003	0.	
2	2.1576e-004	2.1263e-003	0.	
3	1.2241e-004	2.218e-003	0.	
4	-4.625e-006	2.25e-003	0.	
5	-1.3039e-004	2.2133e-003	0.	
6	-2.2028e-004	2.1182e-003	0.	
7	-2.4983e-004	1.9908e-003	0.	
8	-2.1094e-004	1.8658e-003	0.	
9	-1.1424e-004	1.7776e-003	0.	
10	1.3834e-005	1.7504e-003	0.	
11	1.3816e-004	1.7916e-003	0.	
12	2.2448e-004	1.89e-003	0.	
13	1.25e-003	2.e-003	0.	
14	1.2157e-003	2.1263e-003	0.	
15	1.1223e-003	2.218e-003	0.	
16	9.9531e-004	2.25e-003	0.	
17	8.6968e-004	2.2133e-003	0.	
18	7.7977e-004	2.1183e-003	0.	
19	7.5017e-004	1.9909e-003	0.	
20	7.8898e-004	1.8659e-003	0.	
21	8.8559e-004	1.7777e-003	0.	
22	1.0136e-003	1.7504e-003	0.	
23	1.138e-003	1.7915e-003	0.	
24	1.2245e-003	1.8899e-003	0.	
25	-7.5e-004	2.e-003	0.	
26	-7.8423e-004	2.1263e-003	0.	
27	-8.7755e-004	2.218e-003	0.	
28	-1.0044e-003	2.25e-003	0.	
29	-1.1302e-003	2.2134e-003	0.	
30	-1.2202e-003	2.1184e-003	0.	
31	-1.2498e-003	1.9909e-003	0.	
32	-1.211e-003	1.8659e-003	0.	
33	-1.1141e-003	1.7776e-003	0.	
34	-9.8609e-004	1.7504e-003	0.	
35	-8.6184e-004	1.7916e-003	0.	
36	-7.7552e-004	1.89e-003	0.	
37	2.5e-004	1.e-003	0.	
38	2.1576e-004	1.1263e-003	0.	
39	1.2241e-004	1.218e-003	0.	
40	-4.4687e-006	1.25e-003	0.	
41	-1.3012e-004	1.2135e-003	0.	
42	-2.2013e-004	1.1185e-003	0.	
43	-2.4984e-004	9.9106e-004	0.	
44	-2.1109e-004	8.6606e-004	0.	
45	-1.1435e-004	7.7768e-004	0.	
46	1.37e-005	7.5038e-004	0.	
47	1.3798e-004	7.9153e-004	0.	
48	2.2447e-004	8.8995e-004	0.	
49	1.25e-003	1.e-003	0.	
50	1.2157e-003	1.1263e-003	0.	
51	1.1224e-003	1.218e-003	0.	
52	9.9544e-004	1.25e-003	0.	
53	8.6976e-004	1.2134e-003	0.	
54	7.7975e-004	1.1183e-003	0.	
55	7.5017e-004	9.9078e-004	0.	
56	7.8906e-004	8.6582e-004	0.	
57	8.8576e-004	7.7763e-004	0.	
58	1.0138e-003	7.5038e-004	0.	
59	1.138e-003	7.9155e-004	0.	
60	1.2245e-003	8.8993e-004	0.	
61	-7.5e-004	1.e-003	0.	
62	-7.8426e-004	1.1263e-003	0.	
63	-8.7771e-004	1.218e-003	0.	
64	-1.0046e-003	1.25e-003	0.	
65	-1.1303e-003	1.2134e-003	0.	
66	-1.2202e-003	1.1183e-003	0.	
67	-1.2498e-003	9.9081e-004	0.	
68	-1.2109e-003	8.6582e-004	0.	
69	-1.1142e-003	7.7759e-004	0.	
70	-9.8614e-004	7.5038e-004	0.	
71	-8.6192e-004	7.9159e-004	0.	
72	-7.7554e-004	8.8992e-004	0.	
73	2.5e-004	0.	0.	
74	2.1575e-004	1.2629e-004	0.	
75	1.2228e-004	2.1806e-004	0.	
76	-4.63e-006	2.4996e-004	0.	
77	-1.3027e-004	2.1338e-004	0.	
78	-2.2028e-004	1.1822e-004	0.	
79	-2.4983e-004	-9.2543e-006	0.	
80	-2.1093e-004	-1.3419e-004	0.	
81	-1.1413e-004	-2.2243e-004	0.	
82	1.3867e-005	-2.4962e-004	0.	
83	1.3807e-004	-2.0842e-004	0.	
84	2.245e-004	-1.1e-004	0.	
85	1.25e-003	0.	0.	
86	1.2158e-003	1.2629e-004	0.	
87	1.1224e-003	2.1798e-004	0.	
88	9.9553e-004	2.4996e-004	0.	
89	8.6987e-004	2.1346e-004	0.	
90	7.7977e-004	1.1831e-004	0.	
91	7.5017e-004	-9.2263e-006	0.	
92	7.8909e-004	-1.3423e-004	0.	
93	8.8595e-004	-2.2247e-004	0.	
94	1.0139e-003	-2.4961e-004	0.	
95	1.1381e-003	-2.0838e-004	0.	
96	1.2245e-003	-1.1003e-004	0.	
97	-7.5e-004	0.	0.	
98	-7.8428e-004	1.2636e-004	0.	
99	-8.7783e-004	2.1812e-004	0.	
100	-1.0047e-003	2.4995e-004	0.	
101	-1.1304e-003	2.1332e-004	0.	
102	-1.2203e-003	1.1825e-004	0.	
103	-1.2498e-003	-9.2141e-006	0.	
104	-1.211e-003	-1.3415e-004	0.	
105	-1.1143e-003	-2.2234e-004	0.	
106	-9.8632e-004	-2.4963e-004	0.	
107	-8.6207e-004	-2.0851e-004	0.	
108	-7.7555e-004	-1.101e-004	0.	
109	2.5e-004	-1.e-003	0.	
110	2.1576e-004	-8.7371e-004	0.	
111	1.2224e-004	-7.8192e-004	0.	
112	-4.7486e-006	-7.5005e-004	0.	
113	-1.3043e-004	-7.8672e-004	0.	
114	-2.2039e-004	-8.8199e-004	0.	
115	-2.4982e-004	-1.0095e-003	0.	
116	-2.1081e-004	-1.1344e-003	0.	
117	-1.1404e-004	-1.2225e-003	0.	
118	1.3968e-005	-1.2496e-003	0.	
119	1.3815e-004	-1.2084e-003	0.	
120	2.2448e-004	-1.11e-003	0.	
121	1.25e-003	-1.e-003	0.	
122	1.2157e-003	-8.7369e-004	0.	
123	1.1223e-003	-7.8195e-004	0.	
124	9.9536e-004	-7.5004e-004	0.	
125	8.6971e-004	-7.8664e-004	0.	
126	7.7976e-004	-8.8171e-004	0.	
127	7.5017e-004	-1.0092e-003	0.	
128	7.8905e-004	-1.1342e-003	0.	
129	8.8582e-004	-1.2224e-003	0.	
130	1.0138e-003	-1.2496e-003	0.	
131	1.1381e-003	-1.2084e-003	0.	
132	1.2245e-003	-1.1101e-003	0.	
133	-7.5e-004	-1.e-003	0.	
134	-7.8426e-004	-8.7368e-004	0.	
135	-8.7764e-004	-7.8199e-004	0.	
136	-1.0046e-003	-7.5004e-004	0.	
137	-1.1302e-003	-7.866e-004	0.	
138	-1.2202e-003	-8.817e-004	0.	
139	-1.2498e-003	-1.0092e-003	0.	
140	-1.211e-003	-1.1342e-003	0.	
141	-1.1143e-003	-1.2224e-003	0.	
142	-9.8626e-004	-1.2496e-003	0.	
143	-8.6198e-004	-1.2084e-003	0.	
144	-7.7554e-004	-1.1101e-003	0.	
145	2.5e-004	-2.e-003	0.	
146	2.1576e-004	-1.8737e-003	0.	
147	1.224e-004	-1.782e-003	0.	
148	-4.6104e-006	-1.75e-003	0.	
149	-1.3037e-004	-1.7867e-003	0.	
150	-2.2027e-004	-1.8818e-003	0.	
151	-2.4983e-004	-2.0092e-003	0.	
152	-2.1095e-004	-2.1342e-003	0.	
153	-1.1429e-004	-2.2223e-003	0.	
154	1.3832e-005	-2.2496e-003	0.	
155	1.3815e-004	-2.2084e-003	0.	
156	2.2448e-004	-2.11e-003	0.	
157	1.25e-003	-2.e-003	0.	
158	1.2157e-003	-1.8737e-003	0.	
159	1.1222e-003	-1.7819e-003	0.	
160	9.9521e-004	-1.75e-003	0.	
161	8.6952e-004	-1.7867e-003	0.	
162	7.7968e-004	-1.8818e-003	0.	
163	7.5017e-004	-2.0093e-003	0.	
164	7.8908e-004	-2.1342e-003	0.	
165	8.8575e-004	-2.2224e-003	0.	
166	1.0137e-003	-2.2496e-003	0.	
167	1.138e-003	-2.2084e-003	0.	
168	1.2245e-003	-2.1101e-003	0.	
169	-7.5e-004	-2.e-003	0.	
170	-7.8423e-004	-1.8737e-003	0.	
171	-8.7755e-004	-1.782e-003	0.	
172	-1.0045e-003	-1.75e-003	0.	
173	-1.1302e-003	-1.7866e-003	0.	
174	-1.2203e-003	-1.8818e-003	0.	
175	-1.2498e-003	-2.0093e-003	0.	
176	-1.2109e-003	-2.1343e-003	0.	
177	-1.1141e-003	-2.2224e-003	0.	
178	-9.8601e-004	-2.2496e-003	0.	
179	-8.6184e-004	-2.2084e-003	0.	
180	-7.7552e-004	-2.11e-003	0.	
181	1.5e-003	-4.5e-003	0.	
182	1.5e-003	4.5e-003	0.	
183	1.5e-003	-3.9808e-003	0.	
184	1.5e-003	-3.5465e-003	0.	
185	1.5e-003	-3.1868e-003	0.	
186	1.5e-003	-2.8921e-003	0.	
187	1.5e-003	-2.65e-003	0.	
188	1.5e-003	-2.4455e-003	0.	
189	1.5e-003	-2.2662e-003	0.	
190	1.5e-003	-2.0973e-003	0.	
191	1.5e-003	-1.9332e-003	0.	
192	1.5e-003	-1.7668e-003	0.	
193	1.5e-003	-1.5842e-003	0.	
194	1.5e-003	-1.3775e-003	0.	
195	1.5e-003	-1.1964e-003	0.	
196	1.5e-003	-1.0333e-003	0.	
197	1.5e-003	-8.7023e-004	0.	
198	1.5e-003	-7.0002e-004	0.	
199	1.5e-003	-5.1868e-004	0.	
200	1.5e-003	-3.3938e-004	0.	
201	1.5e-003	-1.6595e-004	0.	
202	1.5e-003	5.4088e-007	0.	
203	1.5e-003	1.6708e-004	0.	
204	1.5e-003	3.4055e-004	0.	
205	1.5e-003	5.1974e-004	0.	
206	1.5e-003	7.0081e-004	0.	
207	1.5e-003	8.7088e-004	0.	
208	1.5e-003	1.034e-003	0.	
209	1.5e-003	1.1971e-003	0.	
210	1.5e-003	1.3783e-003	0.	
211	1.5e-003	1.5849e-003	0.	
212	1.5e-003	1.7674e-003	0.	
213	1.5e-003	1.9338e-003	0.	
214	1.5e-003	2.0979e-003	0.	
215	1.5e-003	2.2668e-003	0.	
216	1.5e-003	2.4462e-003	0.	
217	1.5e-003	2.6508e-003	0.	
218	1.5e-003	2.8931e-003	0.	
219	1.5e-003	3.188e-003	0.	
220	1.5e-003	3.548e-003	0.	
221	1.5e-003	3.9826e-003	0.	
222	-1.5e-003	4.5e-003	0.	
223	8.9708e-004	4.5e-003	0.	
224	2.9837e-004	4.5e-003	0.	
225	-2.9805e-004	4.5e-003	0.	
226	-8.9676e-004	4.5e-003	0.	
227	-1.5e-003	-4.5e-003	0.	
228	-1.5e-003	3.9808e-003	0.	
229	-1.5e-003	3.5465e-003	0.	
230	-1.5e-003	3.1868e-003	0.	
231	-1.5e-003	2.892e-003	0.	
232	-1.5e-003	2.6499e-003	0.	
233	-1.5e-003	2.4454e-003	0.	
234	-1.5e-003	2.2661e-003	0.	
235	-1.5e-003	2.0972e-003	0.	
236	-1.5e-003	1.9331e-003	0.	
237	-1.5e-003	1.7666e-003	0.	
238	-1.5e-003	1.5841e-003	0.	
239	-1.5e-003	1.3773e-003	0.	
240	-1.5e-003	1.1963e-003	0.	
241	-1.5e-003	1.0332e-003	0.	
242	-1.5e-003	8.7006e-004	0.	
243	-1.5e-003	6.9992e-004	0.	
244	-1.5e-003	5.1881e-004	0.	
