Node Number	X Location (m)	Y Location (m)	Z Location (m)	
1	4.9646e-005	2.3499e-003	0.	
2	-6.0521e-005	2.3473e-003	0.	
3	1.2375e-003	6.6817e-004	0.	
4	-1.2459e-003	-6.8363e-004	0.	
5	-1.2833e-003	7.7852e-004	0.	
6	1.6709e-005	-2.3463e-003	0.	
7	1.2822e-003	-7.8236e-004	0.	
8	-2.9088e-005	-2.4172e-003	0.	
9	6.4965e-005	-2.4034e-003	0.	
10	1.8668e-004	2.3607e-003	0.	
11	8.9249e-004	-2.3394e-003	0.	
12	8.1249e-004	-2.3956e-003	0.	
13	1.4338e-004	-6.6331e-004	0.	
14	-1.2474e-003	3.2563e-004	0.	
15	-1.0287e-003	-1.5544e-003	0.	
16	1.2361e-003	-3.2592e-004	0.	
17	1.2834e-003	-2.2488e-003	0.	
18	6.0136e-004	2.202e-003	0.	
19	1.1885e-003	1.3677e-003	0.	
20	-1.1781e-003	-1.3694e-003	0.	
21	-8.7638e-004	2.3313e-003	0.	
22	-7.8058e-004	2.2869e-003	0.	
23	-1.2223e-003	-2.832e-004	0.	
24	1.2069e-003	3.6461e-004	0.	
25	1.3608e-003	1.5442e-005	0.	
26	-1.3604e-003	-1.939e-005	0.	
27	1.1464e-003	2.3075e-003	0.	
28	1.2176e-003	-7.1758e-004	0.	
29	-1.3549e-003	-9.9349e-004	0.	
30	-1.1463e-003	-2.3122e-003	0.	
31	1.3537e-003	-2.0915e-003	0.	
32	1.3258e-003	-2.2033e-003	0.	
33	1.2762e-003	-2.1873e-003	0.	
34	1.3562e-003	9.9135e-004	0.	
35	-1.2229e-003	7.1271e-004	0.	
36	8.3034e-004	1.6168e-003	0.	
37	-7.5369e-004	2.4022e-003	0.	
38	-9.6572e-004	-1.4585e-003	0.	
39	-9.6943e-004	1.5424e-003	0.	
40	-4.1741e-004	1.973e-003	0.	
41	9.8514e-004	1.4278e-003	0.	
42	-4.2478e-004	-1.0268e-003	0.	
43	9.7921e-004	-1.5699e-003	0.	
44	5.7393e-004	1.972e-003	0.	
45	6.6286e-005	-1.4424e-003	0.	
46	-3.4032e-005	1.431e-003	0.	
47	5.7586e-004	-1.0249e-003	0.	
48	4.0322e-005	1.5363e-003	0.	
49	-5.915e-005	-1.5496e-003	0.	
50	4.3001e-004	-1.9768e-003	0.	
51	-5.572e-004	-1.9742e-003	0.	
52	4.2828e-004	1.0206e-003	0.	
53	-5.3747e-004	1.0257e-003	0.	
54	5.7572e-004	-2.5486e-005	0.	
55	-4.2461e-004	-2.6438e-005	0.	
56	1.2988e-003	7.8934e-004	0.	
57	1.3531e-003	8.9676e-004	0.	
58	-1.1042e-003	1.4534e-003	0.	
59	-1.1848e-003	1.3002e-003	0.	
60	5.7557e-004	-2.0248e-003	0.	
61	-1.3001e-003	-7.9043e-004	0.	
62	-1.3542e-003	-8.9146e-004	0.	
63	-1.0827e-003	-1.6359e-003	0.	
64	5.3721e-005	5.7186e-004	0.	
65	5.663e-005	-4.3682e-004	0.	
66	-1.2563e-003	2.2654e-003	0.	
67	-1.9512e-005	-5.4919e-004	0.	
68	-1.1774e-003	3.0163e-004	0.	
69	-1.1792e-003	3.6194e-004	0.	
70	-1.0882e-003	4.8501e-004	0.	
71	-5.7454e-005	4.4984e-004	0.	
72	-1.002e-003	-1.6056e-003	0.	
73	-9.0157e-004	-1.6187e-003	0.	
74	-9.839e-004	-1.5399e-003	0.	
75	1.3462e-003	-8.5647e-004	0.	
76	1.3633e-003	-9.8473e-004	0.	
77	1.3606e-003	-1.8643e-003	0.	
78	1.3665e-003	-1.9901e-003	0.	
79	-5.5413e-004	1.9572e-003	0.	
80	1.353e-003	2.0111e-003	0.	
81	-1.1771e-003	-7.0294e-004	0.	
82	-1.175e-003	-6.3904e-004	0.	
83	-1.0878e-003	-5.1098e-004	0.	
84	5.7569e-004	9.7524e-004	0.	
85	1.0964e-003	-1.4399e-003	0.	
86	1.1884e-003	-1.3024e-003	0.	
87	-9.2236e-004	1.3839e-003	0.	
88	-9.9571e-004	1.4542e-003	0.	
89	-1.0385e-003	1.3838e-003	0.	
90	-3.7034e-004	2.2646e-003	0.	
91	6.2395e-004	-1.8871e-003	0.	
92	5.7448e-004	-1.9771e-003	0.	
93	6.2621e-004	-2.0046e-003	0.	
94	-4.2422e-004	9.5979e-004	0.	
95	-5.5753e-004	-1.0588e-003	0.	
96	-3.7e-004	-1.8819e-003	0.	
97	-4.5475e-004	-1.9802e-003	0.	
98	4.4029e-004	1.952e-003	0.	
99	9.7467e-004	1.4998e-003	0.	
100	9.4597e-004	1.6152e-003	0.	
101	1.0637e-003	1.6228e-003	0.	
102	8.8138e-004	-1.3667e-003	0.	
103	9.8031e-004	-1.4342e-003	0.	
104	1.0364e-003	-1.3585e-003	0.	
105	6.2615e-004	1.1211e-003	0.	
106	5.7282e-004	1.0232e-003	0.	
107	6.2622e-004	9.9543e-004	0.	
108	1.0334e-003	-1.5786e-003	0.	
109	9.9875e-004	-1.6314e-003	0.	
110	1.1322e-003	-1.6422e-003	0.	
111	1.2074e-004	-1.6188e-003	0.	
112	5.6867e-006	-1.5462e-003	0.	
113	-1.2226e-005	-1.6211e-003	0.	
114	-3.7397e-004	1.1162e-003	0.	
115	-4.4569e-004	1.0166e-003	0.	
116	-3.738e-004	9.9563e-004	0.	
117	-1.1363e-004	1.6253e-003	0.	
118	-2.5063e-005	1.5616e-003	0.	
119	1.0606e-005	1.6201e-003	0.	
120	-1.0314e-003	1.5798e-003	0.	
121	-9.9383e-004	1.6296e-003	0.	
122	-1.1279e-003	1.6615e-003	0.	
123	4.4286e-004	-1.0574e-003	0.	
124	-5.7144e-004	1.9124e-005	0.	
125	-9.4081e-004	5.7675e-004	0.	
126	4.282e-004	1.9191e-005	0.	
127	1.118e-003	1.3762e-003	0.	
128	1.0602e-003	1.4051e-003	0.	
129	1.1429e-003	1.3168e-003	0.	
130	1.0097e-003	1.3589e-003	0.	
131	1.1913e-004	1.38e-003	0.	
132	2.328e-005	1.4516e-003	0.	
133	-1.9083e-006	1.3783e-003	0.	
134	7.0741e-004	-1.6213e-003	0.	
135	8.5227e-004	-1.6433e-003	0.	
136	-9.6824e-004	-4.5802e-004	0.	
137	1.1793e-003	-3.6503e-004	0.	
138	1.18e-003	-3.0075e-004	0.	
139	1.0831e-003	-4.3717e-004	0.	
140	-1.1105e-003	-1.3788e-003	0.	
141	-1.0509e-003	-1.4178e-003	0.	
142	-1.136e-003	-1.3213e-003	0.	
143	-1.0002e-003	-1.3679e-003	0.	
144	-1.1437e-004	-1.387e-003	0.	
145	-9.1785e-007	-1.4289e-003	0.	
146	1.7221e-005	-1.3725e-003	0.	
147	9.7447e-004	-5.4004e-004	0.	
148	9.5173e-004	4.4703e-004	0.	
149	1.04e-003	-5.8499e-004	0.	
150	1.124e-003	-6.4977e-004	0.	
151	1.0009e-003	-6.2948e-004	0.	
152	-1.3652e-003	-1.8795e-003	0.	
153	-1.3648e-003	-2.0176e-003	0.	
154	1.3056e-003	-2.1453e-004	0.	
155	1.3682e-003	-1.064e-004	0.	
156	-1.0138e-003	5.8558e-004	0.	
157	-1.1253e-003	6.4023e-004	0.	
158	-9.8674e-004	6.3772e-004	0.	
159	-1.3001e-003	2.1527e-004	0.	
160	-1.3642e-003	1.0658e-004	0.	
161	-1.3434e-003	8.5292e-004	0.	
162	-1.3623e-003	9.8132e-004	0.	
163	1.8926e-004	2.2887e-003	0.	
164	3.1566e-004	2.2389e-003	0.	
165	2.7206e-004	2.3034e-003	0.	
166	1.2827e-003	2.4435e-004	0.	
167	1.3523e-003	1.3015e-004	0.	
168	-7.0908e-004	1.6345e-003	0.	
169	-8.5199e-004	1.6302e-003	0.	
170	-1.0255e-003	-4.2206e-004	0.	
171	-1.1181e-003	-3.6359e-004	0.	
172	-9.9199e-004	-3.7175e-004	0.	
173	-1.3376e-003	2.1323e-003	0.	
174	-1.3602e-003	1.9909e-003	0.	
175	-6.341e-004	-1.7248e-003	0.	
176	-6.2794e-004	-1.8594e-003	0.	
177	-1.2843e-003	-2.1627e-004	0.	
178	-1.3495e-003	-1.2915e-004	0.	
179	-5.7383e-004	-9.7799e-004	0.	
180	-6.3203e-004	-1.0096e-003	0.	
181	4.2576e-004	-9.7576e-004	0.	
182	3.6758e-004	-1.0086e-003	0.	
183	-7.1104e-004	2.1975e-003	0.	
184	-5.2372e-004	2.0767e-003	0.	
185	-6.19e-004	2.0324e-003	0.	
186	3.7776e-004	2.1875e-003	0.	
187	4.2815e-004	2.0527e-003	0.	
188	3.6436e-004	2.0105e-003	0.	
189	3.073e-004	2.1804e-003	0.	
190	1.2886e-003	1.2484e-003	0.	
191	1.36e-003	1.1277e-003	0.	
192	-1.2817e-003	1.2336e-003	0.	
193	-1.3635e-003	1.1239e-003	0.	
194	4.4439e-004	-5.7983e-005	0.	
195	3.6846e-004	-1.0128e-005	0.	
196	-3.049e-004	-2.1759e-003	0.	
197	-4.2433e-004	-2.0697e-003	0.	
198	-4.4313e-004	-2.164e-003	0.	
199	-3.6875e-004	-2.0246e-003	0.	
200	1.2904e-003	-1.2372e-003	0.	
201	1.3651e-003	-1.1238e-003	0.	
202	-3.6764e-004	1.2002e-004	0.	
203	-4.2622e-004	2.2235e-005	0.	
204	-3.738e-004	-4.592e-006	0.	
205	-5.5574e-004	-5.7765e-005	0.	
206	-6.3129e-004	-9.6546e-006	0.	
207	6.1973e-004	1.7084e-003	0.	
208	6.2816e-004	1.8672e-003	0.	
209	-1.2792e-003	-1.2493e-003	0.	
210	-1.3559e-003	-1.1309e-003	0.	
211	6.2468e-004	1.1876e-004	0.	
212	5.7289e-004	2.2896e-005	0.	
213	6.2622e-004	-4.5664e-006	0.	
214	9.781e-004	-2.3583e-003	0.	
215	9.7716e-004	-2.4841e-003	0.	
216	-1.2081e-003	-1.591e-003	0.	
217	7.8461e-004	1.4643e-003	0.	
218	8.7464e-004	1.3739e-003	0.	
