Node Number	X Location (m)	Y Location (m)	Z Location (m)	
1	-1.75e-003	1.362e-020	0.	
2	-1.7842e-003	1.2621e-004	0.	
3	-1.8773e-003	2.1782e-004	0.	
4	-2.0049e-003	2.4995e-004	0.	
5	-2.1308e-003	2.1302e-004	0.	
6	-2.2204e-003	1.18e-004	0.	
7	-2.2498e-003	-9.1911e-006	0.	
8	-2.2111e-003	-1.3396e-004	0.	
9	-2.1147e-003	-2.2213e-004	0.	
10	-1.9862e-003	-2.4962e-004	0.	
11	-1.8616e-003	-2.0818e-004	0.	
12	-1.7754e-003	-1.0989e-004	0.	
13	-7.5e-004	-8.125e-035	0.	
14	-7.8446e-004	1.2666e-004	0.	
15	-8.7764e-004	2.1801e-004	0.	
16	-1.0054e-003	2.4994e-004	0.	
17	-1.1314e-003	2.1266e-004	0.	
18	-1.2205e-003	1.1782e-004	0.	
19	-1.2498e-003	-9.1157e-006	0.	
20	-1.2113e-003	-1.3359e-004	0.	
21	-1.1154e-003	-2.2176e-004	0.	
22	-9.8682e-004	-2.4965e-004	0.	
23	-8.6194e-004	-2.0842e-004	0.	
24	-7.7566e-004	-1.1032e-004	0.	
25	2.5e-004	-5.4167e-035	0.	
26	2.1554e-004	1.2665e-004	0.	
27	1.2266e-004	2.1784e-004	0.	
28	-4.6348e-006	2.4996e-004	0.	
29	-1.306e-004	2.1317e-004	0.	
30	-2.2006e-004	1.1863e-004	0.	
31	-2.4983e-004	-9.246e-006	0.	
32	-2.1075e-004	-1.3448e-004	0.	
33	-1.1453e-004	-2.2222e-004	0.	
34	1.3884e-005	-2.4961e-004	0.	
35	1.3834e-004	-2.0824e-004	0.	
36	2.2431e-004	-1.1038e-004	0.	
37	1.25e-003	-2.7083e-035	0.	
38	1.2158e-003	1.2613e-004	0.	
39	1.1232e-003	2.1752e-004	0.	
40	9.9584e-004	2.4997e-004	0.	
41	8.6954e-004	2.1326e-004	0.	
42	7.7989e-004	1.1854e-004	0.	
43	7.5017e-004	-9.1555e-006	0.	
44	7.8923e-004	-1.3445e-004	0.	
45	8.8565e-004	-2.2232e-004	0.	
46	1.0145e-003	-2.4958e-004	0.	
47	1.1389e-003	-2.0785e-004	0.	
48	1.2245e-003	-1.0997e-004	0.	
49	2.25e-003	0.	0.	
50	2.2159e-003	1.2606e-004	0.	
51	2.1229e-003	2.1773e-004	0.	
52	1.9955e-003	2.4996e-004	0.	
53	1.8693e-003	2.1312e-004	0.	
54	1.7797e-003	1.1813e-004	0.	
55	1.7502e-003	-9.1592e-006	0.	
56	1.789e-003	-1.341e-004	0.	
57	1.8854e-003	-2.2219e-004	0.	
58	2.0141e-003	-2.496e-004	0.	
59	2.1386e-003	-2.0807e-004	0.	
60	2.2246e-003	-1.0974e-004	0.	
61	-1.75e-003	-1.e-003	0.	
62	-1.7843e-003	-8.7369e-004	0.	
63	-1.8776e-003	-7.8201e-004	0.	
64	-2.0052e-003	-7.5005e-004	0.	
65	-2.131e-003	-7.8709e-004	0.	
66	-2.2205e-003	-8.8222e-004	0.	
67	-2.2498e-003	-1.0094e-003	0.	
68	-2.2108e-003	-1.1343e-003	0.	
69	-2.1138e-003	-1.2226e-003	0.	
70	-1.9859e-003	-1.2496e-003	0.	
71	-1.8619e-003	-1.2084e-003	0.	
72	-1.7755e-003	-1.11e-003	0.	
73	-1.75e-003	1.e-003	0.	
74	-1.7842e-003	1.1263e-003	0.	
75	-1.8775e-003	1.218e-003	0.	
76	-2.0044e-003	1.25e-003	0.	
77	-2.13e-003	1.2135e-003	0.	
78	-2.2203e-003	1.1183e-003	0.	
79	-2.2498e-003	9.9094e-004	0.	
80	-2.2112e-003	8.6622e-004	0.	
81	-2.1148e-003	7.7794e-004	0.	
82	-1.9867e-003	7.5036e-004	0.	
83	-1.8618e-003	7.9164e-004	0.	
84	-1.7755e-003	8.9e-004	0.	
85	-7.5e-004	1.e-003	0.	
86	-7.8441e-004	1.1266e-003	0.	
87	-8.7759e-004	1.218e-003	0.	
88	-1.0044e-003	1.25e-003	0.	
89	-1.13e-003	1.2135e-003	0.	
90	-1.2202e-003	1.1184e-003	0.	
91	-1.2498e-003	9.9111e-004	0.	
92	-1.2112e-003	8.6621e-004	0.	
93	-1.115e-003	7.7803e-004	0.	
94	-9.8703e-004	7.5034e-004	0.	
95	-8.6217e-004	7.9143e-004	0.	
96	-7.757e-004	8.8959e-004	0.	
97	2.5e-004	1.e-003	0.	
98	2.1551e-004	1.1267e-003	0.	
99	1.2233e-004	1.218e-003	0.	
100	-4.3759e-006	1.25e-003	0.	
101	-1.2987e-004	1.2136e-003	0.	
102	-2.1983e-004	1.1191e-003	0.	
103	-2.4984e-004	9.9113e-004	0.	
104	-2.1084e-004	8.6566e-004	0.	
105	-1.145e-004	7.7776e-004	0.	
106	1.3572e-005	7.5037e-004	0.	
107	1.3809e-004	7.916e-004	0.	
108	2.2425e-004	8.895e-004	0.	
109	1.25e-003	1.e-003	0.	
110	1.2158e-003	1.1263e-003	0.	
111	1.1223e-003	1.2181e-003	0.	
112	9.9538e-004	1.25e-003	0.	
113	8.6979e-004	1.2134e-003	0.	
114	7.8001e-004	1.1188e-003	0.	
115	7.5015e-004	9.9124e-004	0.	
116	7.8915e-004	8.6568e-004	0.	
117	8.8573e-004	7.7764e-004	0.	
118	1.014e-003	7.5039e-004	0.	
119	1.1385e-003	7.9187e-004	0.	
120	1.2245e-003	8.9003e-004	0.	
121	2.25e-003	1.e-003	0.	
122	2.2158e-003	1.1262e-003	0.	
123	2.1222e-003	1.2181e-003	0.	
124	1.9953e-003	1.25e-003	0.	
125	1.8697e-003	1.2134e-003	0.	
126	1.7798e-003	1.1183e-003	0.	
127	1.7502e-003	9.9094e-004	0.	
128	1.789e-003	8.6591e-004	0.	
129	1.8857e-003	7.7767e-004	0.	
130	2.0143e-003	7.5041e-004	0.	
131	2.1387e-003	7.9203e-004	0.	
132	2.2247e-003	8.904e-004	0.	
133	-1.75e-003	2.e-003	0.	
134	-1.7842e-003	2.1263e-003	0.	
135	-1.8778e-003	2.2181e-003	0.	
136	-2.0043e-003	2.25e-003	0.	
137	-2.1301e-003	2.2135e-003	0.	
