Node Number	X Location (m)	Y Location (m)	Z Location (m)	
1	0.	3.e-003	0.	
2	3.e-003	0.	0.	
3	5.e-003	0.	0.	
4	5.e-003	5.e-003	0.	
5	0.	5.e-003	0.	
6	3.4842e-003	4.4708e-004	0.	
7	3.4354e-003	8.9197e-004	0.	
8	3.355e-003	1.3303e-003	0.	
9	3.2437e-003	1.7571e-003	0.	
10	3.1033e-003	2.1688e-003	0.	
11	2.9357e-003	2.5617e-003	0.	
12	2.7436e-003	2.9328e-003	0.	
13	2.3212e-003	3.1007e-003	0.	
14	1.8801e-003	3.2416e-003	0.	
15	1.4238e-003	3.3534e-003	0.	
16	9.5579e-004	3.4345e-003	0.	
17	4.7989e-004	3.4836e-003	0.	
18	3.9895e-003	5.3615e-004	0.	
19	3.957e-003	1.0708e-003	0.	
20	3.9034e-003	1.6012e-003	0.	
21	3.8291e-003	2.1238e-003	0.	
22	3.7355e-003	2.6363e-003	0.	
23	3.6238e-003	3.1363e-003	0.	
24	3.4957e-003	3.6219e-003	0.	
25	2.9364e-003	3.7338e-003	0.	
26	2.3645e-003	3.8278e-003	0.	
27	1.7825e-003	3.9023e-003	0.	
28	1.1927e-003	3.9563e-003	0.	
29	5.977e-004	3.989e-003	0.	
30	4.4947e-003	6.2522e-004	0.	
31	4.4785e-003	1.2497e-003	0.	
32	4.4517e-003	1.872e-003	0.	
33	4.4146e-003	2.4905e-003	0.	
34	4.3678e-003	3.1039e-003	0.	
35	4.3119e-003	3.711e-003	0.	
36	4.2479e-003	4.3109e-003	0.	
37	3.5515e-003	4.3669e-003	0.	
38	2.8489e-003	4.4139e-003	0.	
39	2.1413e-003	4.4511e-003	0.	
40	1.4297e-003	4.4782e-003	0.	
41	7.1552e-004	4.4945e-003	0.	
42	0.	4.5e-003	0.	
43	0.	4.e-003	0.	
44	0.	3.5e-003	0.	
45	4.1667e-003	5.e-003	0.	
46	3.3333e-003	5.e-003	0.	
47	2.5e-003	5.e-003	0.	
48	1.6667e-003	5.e-003	0.	
49	8.3333e-004	5.e-003	0.	
50	5.e-003	7.1429e-004	0.	
51	5.e-003	1.4286e-003	0.	
52	5.e-003	2.1429e-003	0.	
53	5.e-003	2.8571e-003	0.	
54	5.e-003	3.5714e-003	0.	
55	5.e-003	4.2857e-003	0.	
56	3.5e-003	0.	0.	
57	4.e-003	0.	0.	
58	4.5e-003	0.	0.	
59	3.6207e-004	2.9781e-003	0.	
60	7.1883e-004	2.9126e-003	0.	
61	1.0651e-003	2.8046e-003	0.	
62	1.3957e-003	2.6555e-003	0.	
63	1.7061e-003	2.4676e-003	0.	
64	1.9914e-003	2.2437e-003	0.	
65	2.2477e-003	1.987e-003	0.	
66	2.471e-003	1.7012e-003	0.	
67	2.6583e-003	1.3904e-003	0.	
68	2.8067e-003	1.0595e-003	0.	
69	2.9139e-003	7.1311e-004	0.	
70	2.9789e-003	3.5801e-004	0.	
