"Reference";""
"Identification";""
"Material";""
"Extensometer to crosshead transition";0.00;"mm"
"Specimen geometry";"flat"
"Cross-sectional area = So"
"Extensometer gauge length = Le"
"Extensometer output in mm"
"Parallel length = Lc"
"Data acquisition rate 50 Hz"
"Data row for start force reduction (Hysteresis) = Hs"
"Data row for end force reduction (Hysteresis) = He"
"Data row for switch to crosshead = Cs"
"File length N data rows"
"File width M data columns"
"So";90;"mm2"
"Le";50;"mm"
"Lc";319.582;"mm"
"N";3047
"M";4
"Hs";0
"He";0
"Cs";0
"time";"crosshead";"extensometer";"force"
"s";"mm";"mm";"kN"
-2.288834e-007;-3.578978e-007; 1.825583e-009; 5.003433e-002
 1.999977e-002;-4.685500e-007;-1.088267e-007; 4.998791e-002
 3.999977e-002;-7.326947e-006;-6.967224e-006; 4.994609e-002
 5.999977e-002;-2.097274e-005;-2.061302e-005; 4.990890e-002
 7.999977e-002;-3.461854e-005;-3.425881e-005; 4.987170e-002
 9.999977e-002;-4.145976e-005;-4.110003e-005; 4.983886e-002
 1.199998e-001;-4.145976e-005;-4.110003e-005; 4.981038e-002
 1.399998e-001;-4.145976e-005;-4.110003e-005; 4.978190e-002
 1.599998e-001;-4.145976e-005;-4.110003e-005; 4.975342e-002
 1.799998e-001;-4.145976e-005;-4.110003e-005; 4.972494e-002
 1.999998e-001;-4.145976e-005;-4.110003e-005; 4.969646e-002
 2.199998e-001;-4.963891e-005;-4.927918e-005; 4.967470e-002
 2.399998e-001;-5.782305e-005;-5.746333e-005; 4.965294e-002
 2.599998e-001;-6.600720e-005;-6.564748e-005; 4.963118e-002
 2.799998e-001;-7.419135e-005;-7.383163e-005; 4.960942e-002
 2.999998e-001;-8.237550e-005;-8.201577e-005; 4.958767e-002
 3.199998e-001;-8.239548e-005;-8.203575e-005; 4.957257e-002
 3.399998e-001;-8.239548e-005;-8.203575e-005; 4.955749e-002
 3.599998e-001;-8.239548e-005;-8.203575e-005; 4.954240e-002
 3.799998e-001;-8.239548e-005;-8.203575e-005; 4.952732e-002
 3.999998e-001;-8.239548e-005;-8.203575e-005; 4.951224e-002
 4.199998e-001;-7.497706e-005;-7.461734e-005; 4.950133e-002
 4.399998e-001;-6.008937e-005;-5.972964e-005; 4.949463e-002
 4.599998e-001;-4.520167e-005;-4.484195e-005; 4.948793e-002
 4.799998e-001;-3.031397e-005;-2.995424e-005; 4.948122e-002
 4.999998e-001;-1.542627e-005;-1.506655e-005; 4.947452e-002
 5.199997e-001;-5.385724e-007;-1.788490e-007; 4.946782e-002
 5.399998e-001; 1.301445e-004; 1.305042e-004; 4.952447e-002
 5.599998e-001; 2.609407e-004; 2.613004e-004; 4.958118e-002
 5.799997e-001; 3.917369e-004; 3.920967e-004; 4.963789e-002
 5.999998e-001; 5.225331e-004; 5.228929e-004; 4.969461e-002
 6.199998e-001; 6.533294e-004; 6.536891e-004; 4.975132e-002
 6.399997e-001; 7.680975e-004; 7.684572e-004; 4.982653e-002
 6.599998e-001; 8.828205e-004; 8.831802e-004; 4.990179e-002
 6.799998e-001; 9.975435e-004; 9.979032e-004; 4.997705e-002
 6.999997e-001; 1.112267e-003; 1.112626e-003; 5.005231e-002
 7.199998e-001; 1.226990e-003; 1.227349e-003; 5.012758e-002
 7.399998e-001; 1.431731e-003; 1.432091e-003; 5.021555e-002
 7.599998e-001; 1.595481e-003; 1.595841e-003; 5.031255e-002
 7.799998e-001; 1.759232e-003; 1.759591e-003; 5.040955e-002
 7.999998e-001; 1.922982e-003; 1.923342e-003; 5.050656e-002
 8.199998e-001; 2.086732e-003; 2.087092e-003; 5.060356e-002
 8.399998e-001; 2.250483e-003; 2.250842e-003; 5.070057e-002
 8.599998e-001; 2.427696e-003; 2.428056e-003; 5.080708e-002
 8.799998e-001; 2.604928e-003; 2.605288e-003; 5.091361e-002
 8.999998e-001; 2.782159e-003; 2.782519e-003; 5.102015e-002
 9.199998e-001; 2.995219e-003; 2.995578e-003; 5.114594e-002
 9.399998e-001; 3.208322e-003; 3.208681e-003; 5.127174e-002
 9.599998e-001; 3.429453e-003; 3.429813e-003; 5.139552e-002
 9.799998e-001; 3.658632e-003; 3.658992e-003; 5.151725e-002
 9.999998e-001; 3.887812e-003; 3.888171e-003; 5.163898e-002
 1.020000e+000; 4.116991e-003; 4.117351e-003; 5.176072e-002
 1.040000e+000; 4.346170e-003; 4.346530e-003; 5.188245e-002
 1.060000e+000; 4.563184e-003; 4.563544e-003; 5.201356e-002
 1.080000e+000; 4.806360e-003; 4.806720e-003; 5.215775e-002
 1.100000e+000; 5.088437e-003; 5.088797e-003; 5.230559e-002
 1.120000e+000; 5.370514e-003; 5.370873e-003; 5.245343e-002
 1.140000e+000; 5.652591e-003; 5.652951e-003; 5.260127e-002
 1.160000e+000; 5.934667e-003; 5.935027e-003; 5.274911e-002
 1.180000e+000; 6.212831e-003; 6.213191e-003; 5.289622e-002
 1.200000e+000; 6.490991e-003; 6.491351e-003; 5.304333e-002
 1.220000e+000; 6.787093e-003; 6.787453e-003; 5.319744e-002
 1.240000e+000; 7.101183e-003; 7.101543e-003; 5.335858e-002
 1.260000e+000; 7.415272e-003; 7.415632e-003; 5.351972e-002
 1.280000e+000; 7.741769e-003; 7.742129e-003; 5.368168e-002
 1.300000e+000; 8.080697e-003; 8.081056e-003; 5.384447e-002
 1.320000e+000; 8.419625e-003; 8.419984e-003; 5.400726e-002
 1.340000e+000; 8.758551e-003; 8.758911e-003; 5.417006e-002
 1.360000e+000; 9.031728e-003; 9.032087e-003; 5.433461e-002
 1.380000e+000; 9.336030e-003; 9.336390e-003; 5.449825e-002
 1.400000e+000; 9.671805e-003; 9.672165e-003; 5.466099e-002
 1.420000e+000; 1.000758e-002; 1.000794e-002; 5.482372e-002
 1.440000e+000; 1.034336e-002; 1.034372e-002; 5.498646e-002
 1.460000e+000; 1.067913e-002; 1.067949e-002; 5.514919e-002
 1.480000e+000; 1.096907e-002; 1.096943e-002; 5.530326e-002
 1.500000e+000; 1.141844e-002; 1.141880e-002; 5.544327e-002
 1.520000e+000; 1.174652e-002; 1.174688e-002; 5.558601e-002
 1.540000e+000; 1.207428e-002; 1.207464e-002; 5.572874e-002
 1.560000e+000; 1.240205e-002; 1.240241e-002; 5.587149e-002
 1.580000e+000; 1.272981e-002; 1.273017e-002; 5.601423e-002
 1.600000e+000; 1.307088e-002; 1.307124e-002; 5.615958e-002
 1.620000e+000; 1.342530e-002; 1.342566e-002; 5.630754e-002
 1.640000e+000; 1.376454e-002; 1.376490e-002; 5.645597e-002
 1.660000e+000; 1.410374e-002; 1.410410e-002; 5.660439e-002
 1.680000e+000; 1.444294e-002; 1.444330e-002; 5.675281e-002
 1.700000e+000; 1.477062e-002; 1.477098e-002; 5.690227e-002
 1.720000e+000; 1.508667e-002; 1.508703e-002; 5.705277e-002
 1.740000e+000; 1.540271e-002; 1.540307e-002; 5.720328e-002
 1.760000e+000; 1.571876e-002; 1.571912e-002; 5.735379e-002
 1.780000e+000; 1.608652e-002; 1.608687e-002; 5.748964e-002
 1.800000e+000; 1.645428e-002; 1.645464e-002; 5.762549e-002
 1.820000e+000; 1.678194e-002; 1.678230e-002; 5.776817e-002
 1.840000e+000; 1.710953e-002; 1.710989e-002; 5.791085e-002
 1.860000e+000; 1.743712e-002; 1.743747e-002; 5.805354e-002
